date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-20 19:43:41+00:00,1208110742966136833,"ATTENTION: Russian #climatestrike activist @MakichyanA will be jailed 5 days for his Moscow #Fridaysforfuture strikes. 

It is important to share this to show our support and raise awareness. He is one of the BRAVEST strikers in the movement right now. RT #SolidaritywithArshak https://t.co/OaSZrc474R",havenruthie,,9,386,231,
2019-12-20 17:01:50+00:00,1208070014093402114,"„Last Christmas, we started to strike, 
but the very next year we still have to fight,
This year, to save us from fear,
we‘re striking for climate justice.“

1 Jahr und 1 Woche #FridaysForFuture. Heute wieder mit ca 60 Klimastreiks, unfassbar. Alles. #DieErdeBrennt https://t.co/1KwXr1wPYJ",Luisamneubauer,"Place(id='5bcd72da50f0ee77', fullName='Hamburg, Germany', name='Hamburg', type='city', country='Germany', countryCode='DE')",51,1178,187,
2019-12-20 15:48:31+00:00,1208051563010383874,"Week 51 #Fridaysforfuture Uganda 🇺🇬 #schoolstrikeforclimate

And by the way, I have also been striking for 62 days to #SaveCongoRainforest

Joined by Morgan and Joan

Please RT @Greenpeace @GretaThunberg https://t.co/dAr1vgZrZk",vanessa_vash,,39,2682,507,
2019-12-20 15:45:59+00:00,1208050924125638656,"Today there were more than 60 people on the mass strike in Moscow!
So grateful to those who came and helped to organize and share information.
We won’t stop💪🏻

#ClimateStrike 
#FridaysForFuture https://t.co/fuCS6fuQrf",paaiegen,,86,3508,507,
2019-12-20 14:43:36+00:00,1208035223226724353,#FridaysForFuture Dublin wish you all a very Happy Christmas and a steady climate. This is week 54. #cop25 might have failed but we are still here demanding #climatejusticenow  @GretaThunberg @gold_lgold @jimmerz50 https://t.co/ZxDTbaTDVS,Janemellett,,41,1982,344,
2019-12-20 14:17:08+00:00,1208028563120762881,"#Schoolstrike4climate and #schoolstrike4nature week 48 in Fort William. Someone told us that we should go &amp; get an education, but staying in school didn't prevent older generations from messing up the planet. Our activism seems to be making adults uncomfortable. #FridaysForFuture https://t.co/CD8Z49Uo1O",HollyWildChild,,55,2159,358,
2019-12-20 14:02:40+00:00,1208024923979038720,"Right now in Moscow!

#ClimateStrike
#FridaysForFuture https://t.co/35xajYdb86",paaiegen,,55,4319,603,
2019-12-20 09:07:28+00:00,1207950634776965120,"#ClimateStrike Week 39
In solidarity with Izzy &amp; other kids impacted by the fires in Australia. At one of my favorite strike places with an XR friend coming out from UK. You made my day Selina😊 @GretaThunberg @fridays4future @FridaysTurkey #schoolstrike4climate #FridaysForFuture https://t.co/qIbxJAtob5",CevikusHB,"Place(id='6c5bc48a60e3a734', fullName='Beşiktaş, İstanbul', name='Beşiktaş', type='admin', country='Turkey', countryCode='TR')",23,1453,229,
2019-12-20 07:28:26+00:00,1207925710553276416,"School strike week 70. 
Stockholm!
#fridaysforfuture #climatestrike #schoolstrike4climate https://t.co/hJAZ2lIHm1",GretaThunberg,,696,44253,4036,
2019-12-20 03:40:35+00:00,1207868370420408320,"2019 A Year Of Climate Disaster-Yet Still Our Leaders Procrastinate

""We should pause to remember just how extraordinary this year has been, &amp; reflect on what it might mean for our future""

#ClimateStrike
#ClimateProtest
#FridaysForFuture
#ClimateEmergency
https://t.co/hNfHGMwkIF",ProfStrachan,,5,133,119,
